number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0008934,Active,True,1,0,1,True,Caller 4175,Opened by  381,18/3/2016 16:43,Created by 158,18/3/2016 17:05,Updated by 695,18/3/2016 17:09,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,?,2 - Medium,1 - High,2 - High,Group 31,Resolver 182,False,False,Do Not Notify,Problem ID  43,?,?,?,code 6,Resolved by 165,21/3/2016 14:08,26/3/2016 14:59
INC0008934,Active,True,1,0,2,True,Caller 4175,Opened by  381,18/3/2016 16:43,Created by 158,18/3/2016 17:05,Updated by 695,18/3/2016 17:38,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,?,1 - High,1 - High,1 - Critical,Group 31,Resolver 182,False,True,Do Not Notify,Problem ID  43,?,?,?,code 6,Resolved by 165,21/3/2016 14:08,26/3/2016 14:59
INC0008934,Active,True,1,0,3,True,Caller 4175,Opened by  381,18/3/2016 16:43,Created by 158,18/3/2016 17:05,Updated by 695,18/3/2016 17:38,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,?,1 - High,1 - High,1 - Critical,Group 31,Resolver 182,False,True,Do Not Notify,Problem ID  43,?,?,?,code 6,Resolved by 165,21/3/2016 14:08,26/3/2016 14:59
INC0008934,Active,True,1,0,4,True,Caller 4175,Opened by  381,18/3/2016 16:43,Created by 158,18/3/2016 17:05,Updated by 695,21/3/2016 14:07,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,?,1 - High,1 - High,1 - Critical,Group 31,Resolver 182,False,True,Do Not Notify,Problem ID  43,?,?,?,code 6,Resolved by 165,21/3/2016 14:08,26/3/2016 14:59
INC0008934,Resolved,True,1,0,5,True,Caller 4175,Opened by  381,18/3/2016 16:43,Created by 158,18/3/2016 17:05,Updated by 695,21/3/2016 14:08,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,?,1 - High,1 - High,1 - Critical,Group 31,Resolver 182,False,True,Do Not Notify,Problem ID  43,?,?,?,code 6,Resolved by 165,21/3/2016 14:08,26/3/2016 14:59
INC0008934,Closed,False,1,0,6,False,Caller 4175,Opened by  381,18/3/2016 16:43,Created by 158,18/3/2016 17:05,Updated by 908,26/3/2016 14:59,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,?,1 - High,1 - High,1 - Critical,Group 31,Resolver 182,False,True,Do Not Notify,Problem ID  43,?,?,?,code 6,Resolved by 165,21/3/2016 14:08,26/3/2016 14:59
INC0008935,New,True,0,0,0,True,Caller 2485,Opened by  55,18/3/2016 16:43,Created by 30,18/3/2016 16:53,Updated by 129,18/3/2016 16:53,Phone,Location 83,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 69,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,12/4/2016 10:59,17/4/2016 11:07
INC0008935,New,True,0,0,1,True,Caller 2485,Opened by  55,18/3/2016 16:43,Created by 30,18/3/2016 16:53,Updated by 44,21/3/2016 15:15,Phone,Location 83,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 69,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,12/4/2016 10:59,17/4/2016 11:07
INC0008935,New,True,0,0,2,True,Caller 2485,Opened by  55,18/3/2016 16:43,Created by 30,18/3/2016 16:53,Updated by 265,22/3/2016 10:16,Phone,Location 83,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 69,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,12/4/2016 10:59,17/4/2016 11:07
INC0008935,Active,True,0,0,3,True,Caller 2485,Opened by  55,18/3/2016 16:43,Created by 30,18/3/2016 16:53,Updated by 467,22/3/2016 21:51,Phone,Location 83,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 69,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,12/4/2016 10:59,17/4/2016 11:07
INC0008935,Active,True,0,0,4,True,Caller 2485,Opened by  55,18/3/2016 16:43,Created by 30,18/3/2016 16:53,Updated by 60,24/3/2016 10:36,Phone,Location 83,Category 53,Subcategory 174,Symptom 491,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 69,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,12/4/2016 10:59,17/4/2016 11:07
